,dc_list,bbomppu_list,fm_list,theqoo_list,clien_list
0,검은사막 뷰봇사건 터짐 ㅋㅋ, 현재 미국에서 계획중인 미래 도시.jpg,ㅇㅎ) 창녀태후 	[172],최근 미국에서 난리났던 사진 한장.jpg,(욕설주의) 역대급 운전면허 난이도 간소화를 저지른 인물은 누구일까
1,[ㅇㅎ] 뒤태팀, kbpay머니 이벤트는 이걸 눌러줘야 들어오는거였군요..,연예인 인맥 레전드 	[370],요즘 애매한 관계에서 결혼식 청첩장을 받으면 고민을 하게되는 이유.jpg,주호민 죽이기 들어가고 있는 일베사이트들
2,싱글벙글 수상한 프사들, 기울어진 운동장,ㅇㅎ) AI가 만들어낸 백설공주.jpg 	[381],내년 7월에 열리는 파리올림픽 근황,이재명이 무서운 겁니다.
3,경악) 까도까도 나오는 대머리의 실체..blind, 흔한 보통 부부의 밤 일상.jpg,"[롯데온] 23S/S 지오다노 쿨맥스 와이드 히든밴딩 슬랙스 (20,400원) (무배) 	[49]",전기 차단기 안내리다가 감전당했던 메이플 유저 최신 근황,메가커피 한잔 하러 온 아주머니...jpg
4,스압주의) 일본 영웅 오타니에 대한 호날두의 생각, 신한플레이 쏠야구 퀴즈 7월 30일자 정답,530i 세차 후 한컷 	[19],[KBO] 어제 수비중 상대타자 백스윙에 손목 맞고 교체된 한화 포수 최재훈 첫 검진결과로 미세골절 진단,윤봉길의사를 존경하는 중국인.jpg
5,싱글벙글 북괴 열병식 대참사, ㅇㅎ) 일본 드라마 여배우 ㄷ..JPG,지금 여자 월드컵 대한민국 VS 모로코 모로코 선제골장면 	[36],싸이 흠뻑쇼로 잔디가 망가져 훈련을 못하고 있는 프로축구 구단,尹지지율 2.4%p 오른 38%…국민의힘37.2% vs 민주43.3%
6,잠실 롯데월드 화재 출입문 폐쇄 현장글 올라옴, 심각해보이는 대한민국 경제 근황.jpg,용사의 아이를 임신하고싶은 공주.manha 	[27],다들 공무원들한테 친절하게 대해주세요...ㅠㅠ 우리의 친구일 수도,하루 6시간 공공근로 다니는 30대 중반의
7,자폐아는 남성 나이와 연관이 있을까? (요약있음), 현기 전기차 미국판매 근황 ㄷㄷ,[제임스 더커] 텐 하흐 감독의 지시에 따라 모든 선수들은 각자의 필... 	[26],"현역 스포츠 선수들 인스타 팔로워 수 1, 2, 3등 모음",방금 YTN에서 이동관 씨 후속 특종 보도가 나왔습니다!
8,싱글벙글모닝지구촌 0730, 먹히기 위해 태어난 물고기,[NS vs BRO] 2set -  지우 백만볼트 쿼드라킬 ㄷㄷㄷㄷㄷ 	[57],5대 광역시의 몰락.jpg,10년만에 길거리 헌팅을 당했습니다
9,우미다기념)모비딕의 내용을 아주 쉽게 알아보자, 현재 북상하고 있는 태풍의 모습.jpg,"[대한민국vs모로코] 대한민국, 모로코에 패배합니다 	[102]",지옥이 다름없는 충격적인 일본 수달 카페..,검찰청에서 압수수색 파란 박스 들고 나온 사람들
10,"""글 하나면 동네병원 문 닫는다""…맘카페 '절대권력' 논란", Marpou-스마트 모던 Led 천장 조명($17.24-$25.13/무료),나혼자산다에서 프로포폴 고백하는 연예인 	[59],베트남에서 베트남어 쓴다고 욕먹음.jpg,검찰이 지운 '윤석열 식당'.jpg
11,훌쩍훌쩍 초전도체 게임오버.., 빠니보틀 근황,주호민 선민사상 제대로 볼수있는 글.jpg 	[294],"‘규모 4.1 지진’ 후속 알림 없는 기상청, 전북·전남 구분 못한 중대본","문재인 “文 청와대, 금품 관련 부정비리 없었다”"
12,오늘자) 바르셀로나 vs 레알 마드리드 골 모음...gif, 후..모니모,[대한민국vs모로코] 좋은 전개 하지만 찬스 놓치는 한국 	[52],동물과 사육사 관계를 넘어선듯한 푸바오와 강바오 🐼,ASUS 비보북 슬레이트 13 SSD 교체(추가)기
