,title,content
0,"<selenium.webdriver.remote.webelement.WebElement (session=""e562e046149b70e44035acb83f2b4af3"", element=""424883944B0D89C91076BDE113B44A5D_element_47"")>","무라타·삼성전기 등 韓日 MLCC업체
삼성전기의 MLCC 제품으로 장식한 자동차 모형. 사진제공=삼성전기
대표적인 전자부품인 적층세라믹콘덴서(MLCC) 산업에서 전장용 제품의 존재감이 하루가 다르게 커지고 있다. MLCC는 전자제품 회로에서 전류가 안정적으로 흐르도록 제어하는 제품이다. 주로 스마트폰·PC 등 정보기술(IT) 기기 탑재 비중이 압도적으로 높았지만 자율주행·전기차 등 미래차 산업에서 전장화가 빠르게 진행되며 전장용 MLCC 수요도 급증하는 추세다. <br/> <br/><br/> 4일 업계에 따르면 올해 2분기 글로벌 주요 MLCC 업체들의 전체 매출에서 전장용 제품이 차지하는 비중이 일제히 상승했다. <br/> <br/><br/> 1위 업체인 일본 무라타의 2분기 전장용 부품 매출액은 996억 엔으로 전년 동기 대비 8.4% 증가했다. 매출 비중 역시 27.1%로 전년 동기(19.5%)와 비교해 8%p 가까이 올랐다. 일본 TDK의 MLCC 사업 내 전장용 매출액은 역대 최대인 667억 엔을 기록했다. 매출 비중도 22.2%로 늘었다. 삼성전기(009150)도 전장용 MLCC의 매출 비중이 2021년 한 자릿수 후반에서 올해 2배 이상 상승했다고 공개했다. <br/> <br/><br/> 전장용 MLCC는 고온·고압 환경에서도 기능을 유지해야 한다는 점에서 IT용 MLCC보다 가격이 2~3배 비싸다. 내연기관차에는 3000~5000개가 필요하지만 전기차·자율주행차에선 그 수가 4~5배까지 증가한다. <br/> <br/><br/> 상황이 이렇자 국내 부품사는 전장용 시장에서 전통 강자인 일본 기업들의 점유율을 빼기 위한 채비에 나섰다. 삼성전기는 전기차에 탑재되는 세계 최고용량의 MLCC를 출시하며 프리미엄 라인업을 공격적으로 확대하고 있다. 범용보다는 인포테인먼트, 첨단운전자보조시스템(ADAS), 파워트레인용 MLCC 시장에서 입지를 빠르게 키워간다는 전략이다. 성과도 나오고 있다. 시장조사기관 트렌드포스에 따르면 지난해 전 세계 전장용 MLCC 시장에서 삼성전기는 4% 점유율에 그쳤지만 올해는 13%까지 상승할 전망이다. <br/> <br/><br/> 일본 업체들도 공격적인 시설 투자로 대응하고 있다. 무라타는 필리핀에 112억 엔을 투자해 새 MLCC 제조거점을 조성할 것이라고 밝혔다. 증설 투자 배경으로 전기차와 차세대 6G 관련 수요 증가를 꼽았다는 점을 고려하면 향후 전장제품 생산거점으로 활용될 가능성이 크다. 고의영 하이투자증권 연구원은 “IT용 MLCC의 바닥이 확인된 것이라면 다음 전장(戰場)은 전장(電裝)일 것”이라며 “무라타, 삼성전기 모두 차량의 전동화, 자율주행 고도화로 모빌리티향 매출이 구조적으로 커지고 있다”고 분석했다."
1,"<selenium.webdriver.remote.webelement.WebElement (session=""e562e046149b70e44035acb83f2b4af3"", element=""424883944B0D89C91076BDE113B44A5D_element_48"")>",배우 이학주가 4일 오후 서울 마포구 MBC 사옥에서 열린 새 금토드라마 '연인'의 제작발표회에 참석해 포즈를 취하고 있다. <br/><br/> <br/> 한윤종 기자 hyj0709@segye.com
2,"<selenium.webdriver.remote.webelement.WebElement (session=""e562e046149b70e44035acb83f2b4af3"", element=""424883944B0D89C91076BDE113B44A5D_element_49"")>","14명의 부상자가 발생한 '분당 흉기 난동' 사건 이후 비슷한 범행을 저지르겠다는 예고성 글이 인터넷에 잇따라 올라온 4일 범행 예고 장소 중 한 곳인 경기 성남시 오리역에 경찰이 순찰하고 있다. /2023.8.4 성남=이제원 선임기자
14명의 부상자가 발생한 '분당 흉기 난동' 사건 이후 비슷한 범행을 저지르겠다는 예고성 글이 인터넷에 잇따라 올라온 4일 범행 예고 장소 중 한 곳인 경기 성남시 오리역에 경찰이 순찰하고 있다. <br/><br/> <br/>성남=이제원 선임기자"
3,"<selenium.webdriver.remote.webelement.WebElement (session=""e562e046149b70e44035acb83f2b4af3"", element=""424883944B0D89C91076BDE113B44A5D_element_50"")>","조각상 받침대 위에 올라가 무리하게 인증사진을 찍던 관광객들이 조각상과 함께 뒤로 넘어지고 있다. /틱톡
독일 관광객들이 150년된 이탈리아 조각상 앞에서 인증사진을 찍으려 무리하게 포즈를 취하다 결국 조각상을 박살 내버리는 일이 벌어졌다. <br/> <br/>3일(현지 시각) 로이터통신에 따르면, 최근 독일 관광객 2명이 이탈리아 북부의 알레코 저택 내부에 있는 석상을 파손했다. 인증사진을 찍기 위해 석상을 끌어안는 등 무리한 자세를 취한 게 원인이었다. <br/> <br/>당시 상황이 담긴 CCTV 영상을 보면, 관광객 2명이 분수대 안에 세워진 석상 받침대를 아슬아슬하게 밟은 채 양쪽에 서 있다. 이어 사진을 찍어 주던 일행이 자세를 고쳐주기 위해 지팡이를 뻗어 관광객 중 한 명의 옆구리를 찌르자, 이 관광객은 중심을 잃고 쓰러졌다. 그러자 옆에서 석상을 감싸 안고 있던 다른 관광객도 연달아 넘어졌다. 이 과정에서 석상이 바닥에 쓰러지며 깨지고 말았다. <br/> <br/>이들이 망가뜨린 석상은 이탈리아 조각가 엔리코 부티(Enrico Butti)가 약 150년 전 만든 작품 ‘도미나(Domina)’다. 그 가치가 무려 21만8000달러(약 2억8300만원)에 달한다. 그러나 관광객 일행은 조각상을 부순 뒤 아무 말 없이 저택을 떠난 것으로 알려졌다. <br/> <br/>조각상은 워낙 여러 조각으로 부서진 데다, 분수대 타일까지 일부 파손돼 복구가 어려울 것으로 보인다. 실제로 현장 사진을 보면, 조각상의 팔과 몸통 등이 받침대와 완전히 분리돼 산산조각나 있는 것을 확인할 수 있다. <br/> <br/>알레코 저택 관리자 브루노 골페리니는 “우리가 조각상이 파손됐다는 것을 깨달았을 때는 너무 늦었다”며 “도미나 석상은 저택을 보호하는 의미를 가진 석상인데, 이런 무지한 사람들이 있다는 사실이 슬프다”고 했다. <br/> <br/>현재 현지 경찰은 알레코 저택 측의 신고를 받고 사건을 수사하고 있다. CCTV 분석 등을 토대로 피의자를 특정할 계획이다."
4,"<selenium.webdriver.remote.webelement.WebElement (session=""e562e046149b70e44035acb83f2b4af3"", element=""424883944B0D89C91076BDE113B44A5D_element_51"")>",아내를 인천 잠진도 앞바다에서 밀어 넣고 나오지 못하도록 돌을 수차례 던져 살해한 30대 남편이 구속된 상태로 재판에 넘겨 졌다.<br/>인천지검 형사2부(부장 위수현)는 살인 혐의로 A(30)씨를 구속 기소했다고 4일 밝혔다.<br/>A씨는 지난달 15일 오전 2시 40분쯤 밤 낚시를 가자며 30대 아내 B씨를 인천 중구 잠진도 제방으로 데려가 바다에 빠트린 뒤 밖으로 나오지 못하게 여러차례 큰 돌을 던져 살해한 혐의를 받고 있다.<br/>A씨는 당초 아내 B씨가 “차에 짐을 가지러 다녀온 사이 바다에 빠져 떠내려가고 있었다”고 119에 신고 했다. 그러나 숨진 채 인양된 B씨의 머리에서 멍 자국과 혈흔이 발견된 점을 수상하게 여긴 해양경찰이 인근 폐쇄회로(CC)TV 영상을 확보해 A씨의 범행을 확인했다. 영상에는 A씨가 바다에 빠져 허우적거리는 B씨를 향해 주변에 있는 큰 돌을 여러 차례 던지는 모습이 담겼다.<br/>A씨는 경찰조사에서 “아내와 불화가 있어 더는 함께 살기 힘들다고 생각해 범행했다”고 범행을 인정했다.
5,"<selenium.webdriver.remote.webelement.WebElement (session=""e562e046149b70e44035acb83f2b4af3"", element=""424883944B0D89C91076BDE113B44A5D_element_52"")>","현정은 ""늘 곁에서 지켜주고 있다고 믿어""
현정은(왼쪽 세번째) 현대그룹 회장이 4일 경기도 하남시 창우동 선영에서 고(故) 정몽헌 회장 20주기 추모식을 진행하고 있다. 사진제공=현대그룹
고(故) 정몽헌 현대그룹 전 회장의 20주기를 맞아 4일 경기 하남시 창우동 선영에서 고인을 추모하는 행사가 열렸다. <br/> <br/><br/> 현대그룹에 따르면 이날 추모식은 아내인 현정은 회장과 계열사 사장단 등 임직원 70여명이 참석했다. <br/> <br/><br/> 올해는 20주기를 맞아 참배와 함께 추모비 제막식도 거행했다. 추모비에 새겨진 추모 문구는 생전 정몽헌 회장과 친분이 두터웠던 철학자 도올 김용옥 선생이 지어 의미를 더했다. <br/> <br/><br/> '영원한 청춘 몽헌을 추모함'으로 시작하는 비문은 ‘온 겨레의 함성을 등에 업고 거룩한 아버지의 세업, 그 빛을 따라 문학소년과도 같은 열정을 지니고 전문경영인으로 성장하여 현대그룹 회장의 직에 이르기까지 그 소임을 다하였다’는 문장으로 고인을 기리고 있다. 도올 선생은 지난 2003년 8월 정 전 회장 타계시 금강산 추모비문도 직접 써 주었다. <br/> <br/><br/> 현정은 회장은 “떠나신지 20년이 됐다는 게 믿기지 않을 만큼 지난한 시간이었다”며 “고 정주영 명예회장님과 고 정몽헌 회장이 늘 곁에서 지켜주고 응원해 주고 있다고 믿기에 우리 현대 가족들과 함께 앞으로 더욱 힘차게 전진해 나아가겠다”고 소회를 밝혔다. <br/> <br/><br/> 현대그룹은 이날 오후부터 2주 간 연지동 그룹 본사 사옥과 현대엘리베이(017800)터 충주공장 특별전시관에서 추모 사진전도 진행한다. 고인의 생애와 업적, 그가 그려온 현대정신과 미래비전이 132점의 사진으로 전시된다. 특히 고인이 생전에 사용한 수첩과 안경 등 희귀 유품 34점도 처음으로 공개한다. <br/> <br/><br/> 현정은 회장은 정몽헌 회장이 2003년 사망한 이후 매년 8월 4일 북한 금강산에서 추모 행사를 열었다. 2008년 금강산 관광이 중단된 이후에도 추모식은 계속 진행됐지만, 2016년 2월 이후로 중단됐다. <br/> <br/><br/> 2018년에는 북한이 방북을 승인해 금강산 추모식이 3년 만에 열렸다. 이후 중단됐다가 올해 정몽헌 전 회장 20주기 추모 행사를 금강산에서 열려고 했지만 북측이 거부해 무산됐다."
6,"<selenium.webdriver.remote.webelement.WebElement (session=""e562e046149b70e44035acb83f2b4af3"", element=""424883944B0D89C91076BDE113B44A5D_element_53"")>","완전관해율 66.7%, 객관적 반응률 91.7%
앱클론(174900)의 키메릭 항원 수용체 T세포(CAR-T) 치료제 후보물질 ‘AT101’이 임상 1상에서 전체 시험 대상자 기준 완전관해율(CR) 66.7%와 객관적 반응률(ORR) 91.7%를 보였다. <br/> <br/><br/> 앱클론은 이 같은 내용의 AT101의 국내 임상 1상 결과를 수령했다고 4일 밝혔다. <br/> <br/><br/> 앱클론은 재발성 또는 불응성 B세포 비호지킨 림프종 환자 12명을 대상으로 AT101을 투여하는 임상 1상을 실시했다. 임상 1상에는 서울아산병원, 아주대병원, 울산대병원, 동아대병원이 참여했다. <br/> <br/><br/> 임상1상의 1차 목적은 AT101의 안전성과 내약성에 근거한 최대내약용량 및 임상 2상에서의 권장용량을 결정하는 것이다. 임상 1상은 용량 증량 디자인으로 저용량, 중용량, 고용량으로 나눠 진행했다. 그 결과 저·중·고용량 투여군 전체 시험 대상자 기준 완전관해율과 객관적 반응률은 각각 66.7%, 91.7%를 보였다. 중용량과 고용량 투여군만 놓고 보면 완전관해율은 83%, 객관적 반응율은 100%의 결과가 나타났다. 고용량 투여에서도 아직 최대 내약 용량에 도달하지 않았고, 안전성·내약성 면에서도 특이사항은 발생하지 않았다. <br/> <br/><br/> 회사 관계자는 “임상 1상을 통해 AT101의 높은 치료 효과를 확인하고 환자에 대한 안전성도 확보했다”면서 “임상2상은 최적의 투여 용량이 적용돼 진행되므로 1상보다 더욱 향상된 치료율을 기록할 수 있을 것으로 기대한다”고 말했다."
7,"<selenium.webdriver.remote.webelement.WebElement (session=""e562e046149b70e44035acb83f2b4af3"", element=""424883944B0D89C91076BDE113B44A5D_element_54"")>","이주호 사회부총리 겸 교육부 장관이 지난 4일 오전 정부서울청사에서 열린 '2023 새만금 제25회 세계스카우트잼버리' 온열환자 속출 사태 대응을 위한 임시국무회의에서 자신의 휴대 전화를 바라보고 있다. [사진=연합뉴스]
교원단체들이 교육부와 서울시교육청이 4일 발표한 서울 서초구 서이초등학교 신규 교사 사망 사건 합동 조사 결과에 대해 ""결론 없는 용두사미 조사""라며 ""중요한 내용은 경찰 수사로 전가했다""고 비판했다.  <br/> <br/>서울교사노동조합은 이날 입장문에서 이 같이 말하며 ""이미 보도된 내용 외에 새로운 사실이 없다""며 ""기존에 공개됐던 학교의 입장문을 그대로 답습한 내용으로 전국 교사들의 허탈함만 가중시켰다""고 지적했다.  <br/> <br/>서울교사노조는 ""교육청은 사전에 유가족에게 발표 내용을 설명했다고 하는데, 유가족은 납득할 수 없다며 국회의원 자료보다 허술한 자료라고 호소했다고 한다""며 ""고인의 학교 생활에 대한 어려움을 보다 정확하게 조사해달라""고 말했다.  <br/> <br/>전국초등교사노동조합도 성명서를 내고 ""오늘 발표에는 이번 사건에서 가장 핵심인 교장의 부작위와 학부모 악성민원에 대한 조사가 빠졌다""며 ""장상윤 교육부 차관은 학부모 조사는 교육부가 행정기관이기 때문에 (경찰과 다르게) 한계가 있다고 밝혔지만 조사 의무는 당연히 교육당국 소관이다""고 지적했다.  <br/> <br/>전국교직원노동조합도 입장문에서 ""경찰에게 떠넘기려면 합동조사는 왜 시작했나""라며 ""악성민원에 대한 제대로 된 진상규명을 하라""고 밝혔다.  <br/> <br/>교육부와 서울시교육청은 지난달 18일 서이초 신규 교사 사망 후 진상 규명을 위해 합동조사단을 구성했다. 지난달 24일부터 서이초 교원 등을 대상으로 조사를 한 결과를 이날 발표했다. 합동조사단은 이날 ""고인에게 학부모의 폭언 등 '악성 민원'이 있었는지 같은 사건 경위를 설명하기엔 한계가 있다""며 ""경찰 수사로 밝혀야 할 것""이라고 설명했다.    <br/> <br/>아주경제=신진영 기자 yr29@ajunews.com"
8,"<selenium.webdriver.remote.webelement.WebElement (session=""e562e046149b70e44035acb83f2b4af3"", element=""424883944B0D89C91076BDE113B44A5D_element_55"")>","사진=한국투자증권
<br/>한국투자증권이 일반인을 대상으로 한 사모펀드 운용 사업에 나선다. <br/>  <br/>4일 금융투자업계에 따르면 한투증권은 지난달 28일 금융위원회에 일반 사모집합투자업 인가 등록을 마무리했다. <br/>  <br/>한투증권은 일반 사모펀드를 직접 운용하고, 투명한 운용지시 및 관리하기 위해 인가 획득 결정을 내렸다. <br/>  <br/>한투증권 관계자는 “사모펀드 운용을 통해 고유 자산관리 안정성을 높이고, 새로운 사업 기회를 찾을 것”이라고 설명했다. <br/>  <br/>한편 한국금융지주 내 사모펀드 운용업 자격을 갖춘 계열사는 한국투자신탁운용과 한투증권 등 2개사로 늘어났다. <br/> <br/>아주경제=홍승우 기자 hongscoop@ajunews.com"
9,"<selenium.webdriver.remote.webelement.WebElement (session=""e562e046149b70e44035acb83f2b4af3"", element=""424883944B0D89C91076BDE113B44A5D_element_56"")>","민주 민생채움단, '교사 현장 간담회' 박광온 ""법안‧정책 보강 노력하겠다""
더불어민주당 민생채움단 단장인 박광온 원내대표가 4일 오전 서울 서대문구 가재울초등학교에서 열린 '교권침해' 간담회에서 참석 교사들과 인사를 하고 있다. [사진=연합뉴스]
더불어민주당 민생채움단 단장인 박광온 원내대표가 4일 서울 서대문구 가재울초등학교에서 열린 '교권침해' 간담회에서 참석 교사들과 인사를 하고 있다. [사진=연합뉴스]더불어민주당은 4일 서이초 교사 사건과 관련 일선 교사들을 만나 사과하고 유사 사건 재발 방지를 위한 법 개정 추진을 약속했다. <br/> <br/>박광온 원내대표가 이끄는 민주당 민생채움단은 이날 서울 서대문구 가재울초등학교에서 '교사 현장 간담회'를 열었다. <br/> <br/>박 원내대표는 간담회 자리에서 ""돌아가신 (서이초) 선생님의 함자가 공개되지 않고 있다고 한다""며 ""안타까운 희생인데도 이름을 세상에 알리는 것을 꺼리는 아픈 현실은 우리 모두의 잘못""이라고 전했다. <br/> <br/>그는 ""진작부터 이런 문제가 끊임없이 제기됐는데도 근본적 해법을 마련하지 못했다""며 ""무엇보다 정치하는 사람들의 잘못이 크다""고 밝혔다. <br/> <br/>그러면서 ""이미 준비한 법안과 정책들을 더 튼튼하게 보강하도록 노력하겠다""고 약속했다. <br/> <br/>간담회에 참석한 교사들은 민주당에 서이초 교사 사건의 진실 규명을 요청하며 재발 방지를 위한 관련법 개정도 요청했다. <br/> <br/>장대진 서울교사노조 수석부위원장은 ""아동학대처벌법을 개정해 교사들이 '아동학대 신고'에서 벗어나 정상적으로 활동할 수 있도록 해달라""며 ""학교 바깥에서 벌어지는 폭력도 학교에서 처리하게끔 한 학교폭력예방법도 개정해야 한다""고 말했다. <br/> <br/>교사들은 수업 방해 학생을 즉시 분리 조치하는 내용의 초·중등교육법 개정은 물론 생활지도 전담 교사를 배치달라고도 요구했다. 또 '문제 학생'을 소속 학급에서 분리하는 방안을 국회가 교육부와 논의해 달라는 요청도 있었다. <br/> <br/>교육위원장을 지낸 유기홍 의원은 ""이 문제는 법과 조례를 고친다고 해결되지 않는다. 예산과 인력이 뒷받침돼야 한다""며 ""교육청에서 '교권 119' 같은 긴급대응팀을 만드는 것도 좋은 제안""이라고 말했다. <br/> <br/>이날 간담회에는 가재울초 교사들과 전국초등교사노조 소속 교사들, 서울시교육청 관계자들이 참석했다. 민주당에서는 의원 12명이 나왔다. <br/> <br/>아주경제=박찬제 기자 pcjay@ajunews.com"
