,title,content
0,"<selenium.webdriver.remote.webelement.WebElement (session=""deba5368163aed59e0053f5fce21d20b"", element=""F291F5785C5B2AB5B4D3F6DEB2514BF5_element_43"")>","경남 진주 LH 본사 사옥. /조선DB
경찰이 아파트 ‘철근 누락’ 사태와 관련 한국토지주택공사(LH)에 대한 압수수색에 나섰다. <br/> <br/>16일 LH와 경찰에 따르면 경찰은 이날 오전부터 경남 진주시에 있는 LH 진주 본사를 압수수색하고 있다. <br/> <br/>앞서 LH는 지난 4일 ‘철근 누락’ 아파트 단지의 설계·시공·감리 관련 업체와 내부 직원들에 대한 수사를 경찰청에 의뢰했다."
1,"<selenium.webdriver.remote.webelement.WebElement (session=""deba5368163aed59e0053f5fce21d20b"", element=""F291F5785C5B2AB5B4D3F6DEB2514BF5_element_44"")>","기록적인 폭염이 이어지면서 소비에도 영향을 준 것으로 나타났습니다. 특히 바깥 활동이 줄어들면서 MZ(밀레니얼+Z) 세대 중심으로 인기가 높았던 골프와 테니스 관련 매출이 급감했습니다. <br/> <br/>16일 비씨카드에 따르면 지난달 골프, 테니스 등 실외 스포츠 업종의 전달 대비 매출이 15.3% 줄어든 것으로 나타났습니다. 지난해 같은 기간과 비교하면 13.6% 하락한 것입니다. 비씨카드 관계자는 ""전월뿐만 아니라 전년 동기와 비교 시에도 큰 폭으로 매출이 감소한 것은 7월 발생한 기록적인 무더위로 인해 고객들의 소비 패턴이 큰 영향을 받은 것으로 보인다""고 말했습니다. <br/> <br/>식음료 업종의 매출은 3.3% 증가했습니다. 주점 업종은 3.5%, 음료 업종은 2.5% 매출이 상승했습니다. <br/> <br/>본격적인 휴가철이 시작되면서 일부 업종 간 소비에서 양극화된 모습이 나타났습니다. 숙박 업종 매출은 전달 대비 3.9% 상승했지만, 코로나19 이후 꾸준한 상승세를 이어왔던 문화 업종 매출은 10.1% 하락했습니다. <br/> <br/>지난달 주요 업종의 전체 매출 흐름을 보면 전달 대비 0.7% 상승했습니다. 하지만 지난해와 비교했을 때 온라인 쇼핑과 운송 업종을 빼면 4% 감소하는 등 전반적으로 매출이 줄었습니다. 특히 유가 변화에 영향이 큰 주유 업종에서 매출 감소가 컸습니다. <br/> <br/>우상현 BC카드 부사장은 ""사회 전반적으로 발생하고 있는 다양한 이슈와 결제 데이터를 실시간으로 결합하고 분석해 다양한 곳에서 활용될 수 있도록 노력하고 있다""며 ""최근 발표한 크루즈선 입항 경제효과 분석과 같이 정부 정책을 지원할 수 있는 시의적절한 콘텐츠를 지속해서 생산해 나갈 것""이라고 말했습니다. <br/> <br/>조미현 기자 mwise@hankyung.com"
2,"<selenium.webdriver.remote.webelement.WebElement (session=""deba5368163aed59e0053f5fce21d20b"", element=""F291F5785C5B2AB5B4D3F6DEB2514BF5_element_45"")>","'마스크걸' 고현정이 이 작품에서 보여주는 보편성에 집중했다. <br/> <br/>배우 고현정은 16일 서울시 동대문구 한 호텔에서 진행된 넷플릭스 오리지널 시리즈 '마스크걸' 제작발표회에서 ""제가 생각한 우리 작품은 사회의 문제나 이슈가 되는 일들, 그 일이 왜 일어나는지 저변에 깔린 문제점을 드러냈다""며 ""그러면서도 너무 심각하지 않게 다가간다""고 소개했다. <br/> <br/>그러면서 ""제목이 '마스크걸'이라고 해서 우리 셋만 해당하는 이야기는 아니다""며 ""살면서 많은 분이 마스크를 쓸 때가 있다고 본다. 그 고충이 어느 정도인지, 마스크를 벗을 용기가 어느 즈음에 생기는지 생각하고 알려주는 작품 같다""고 설명했다. <br/> <br/>'마스크걸'은 외모 콤플렉스를 가진 평범한 직장인 김모미가 밤마다 마스크로 얼굴을 가린 채 인터넷 방송 BJ로 활동하면서 의도치 않은 사건에 휘말리며 벌어지는 이야기를 담았다. 파격적인 전개와 개성 강한 캐릭터, 강렬한 메시지로 사랑받았던 동명 웹툰을 드라마로 옮겼다. 영화 '지푸라기라도 잡고 싶은 짐승들' 김용훈 감독의 첫 시리즈 데뷔작이다. <br/> <br/>'마스크걸' 김모미 역은 고현정, 나나, 이한별 3명이 연기한다. 이들은 세 개의 다른 얼굴로 인터넷 방송 BJ, 쇼걸, 교도소 수감자라는 다른 신분의 김모미를 시간대에 따라 연기한다. 가장 먼저 등장하는 김모미는 외모 콤플렉스를 가진 회사원이다. 잘못된 선택과 연속된 불운이 만들어 낸 인생의 가파른 굴곡 위에 선 김모미의 인생과 이를 그려내기 위해 모인 세 명의 배우, 각자 강렬한 개성을 담아내면서도 인물을 관통하는 일관된 정체성을 그려낸 이들의 역대급 열연이 '마스크걸' 관전 포인트로 꼽힌다. <br/> <br/>고현정은 대한민국을 떠들썩하게 만든 '마스크걸 살인사건'의 범인으로 교도소에 입소, 죄수 번호 1047로 불리는 김모미 역할을 맡았다. 교도소의 왕으로 군림한 안은숙의 눈 밖에 나 힘든 수감생활에도 자신만의 방법을 찾아 평온한 나날을 보내고 있었지만 어느 날 교도소 밖에서 온 편지 한 통에 결국 탈옥을 결심한다. <br/> <br/>고현정은 ""한 인물을 여러 명이 각각 맡아 연기하는 게 저에겐 흥미로운 지점이었다""며 ""저의 10대, 20대, 30대를 생각해보면 매우 다르다. 한 캐릭터를 한 사람이 하는 게 당연하다 생각할 수 있지만, 나눠 연기하면 그때 집중해서 할 수 있다는 장점이 있는 거 같다""고 말했다. <br/> <br/>그러면서 ""제가 알기론 이런 콘셉트가 이전엔 없던 시도""라며 ""그래서 이 제의가 감사했다""고 덧붙였다. <br/> <br/>한편 '마스크걸'은 오는 18일 첫 공개된다. <br/> <br/>김소연 한경닷컴 기자 sue123@hankyung.com"
3,"<selenium.webdriver.remote.webelement.WebElement (session=""deba5368163aed59e0053f5fce21d20b"", element=""F291F5785C5B2AB5B4D3F6DEB2514BF5_element_46"")>","배우 고현정이 16일 오전 서울 종로구 JW 메리어트 동대문 스퀘어에서 진행된 넷플릭스 시리즈 ‘마스크걸’(각본 김용훈/연출 김용훈) 제작발표회에서 소감을 말하고 있다. 김규빈 기자
배우 고현정이 16일 오전 서울 종로구 JW 메리어트 동대문 스퀘어에서 진행된 넷플릭스 시리즈 ‘마스크걸’(각본 김용훈/연출 김용훈) 제작발표회에서 소감을 말하고 있다. <br/> <br/><br/> <br/> <br/><br/> ‘마스크걸’은 외모 콤플렉스를 가진 평범한 직장인 김모미(고현정, 나나)가 밤마다 마스크로 얼굴을 가린 채 인터넷 방송 BJ로 활동하면서 의도치 않은 사건에 휘말리며 벌어지는 이야기다. 오는 18일 공개."
4,"<selenium.webdriver.remote.webelement.WebElement (session=""deba5368163aed59e0053f5fce21d20b"", element=""F291F5785C5B2AB5B4D3F6DEB2514BF5_element_47"")>","배우 나나가 16일 오전 서울 종로구 JW 메리어트 동대문 스퀘어에서 진행된 넷플릭스 시리즈 ‘마스크걸’(각본 김용훈/연출 김용훈) 제작발표회에 참석했다. 김규빈 기자
배우 나나가 16일 오전 서울 종로구 JW 메리어트 동대문 스퀘어에서 진행된 넷플릭스 시리즈 ‘마스크걸’(각본 김용훈/연출 김용훈) 제작발표회에 참석했다. <br/> <br/><br/> <br/> <br/><br/> ‘마스크걸’은 외모 콤플렉스를 가진 평범한 직장인 김모미(고현정, 나나)가 밤마다 마스크로 얼굴을 가린 채 인터넷 방송 BJ로 활동하면서 의도치 않은 사건에 휘말리며 벌어지는 이야기다. 오는 18일 공개."
5,"<selenium.webdriver.remote.webelement.WebElement (session=""deba5368163aed59e0053f5fce21d20b"", element=""F291F5785C5B2AB5B4D3F6DEB2514BF5_element_48"")>","사진 온라인 커뮤니티 캡처
명문대를 졸업했다며 유치원 교사에게 막말한 학부모가 신상이 공개된 후 과거의 언행에 대해 사과했다. 그는 아이의 실명을 거론할 시 법적 조치하겠다고 경고했으나, 본인은 피해 교사의 실명을 기재해 다시 한번 논란이 됐다. <br/> <br/> 16일 온라인 커뮤니티에 따르면 학부모 A씨는 전날 자신이 운영하는 블로그를 통해 사과했다. <br/> <br/> 앞서 경기일보와 MBC의 보도에 따르면 A씨는 4년 전 피해 교사와의 통화에서 ""당신 어디까지 배웠어요? (내가) 카이스트 경영대학 나와서 MBA까지 했는데 카이스트 나온 학부모들이 문제야? 당신 계속 이딴 식으로 해도 되는 거예요, 정말?""이라고 따졌다. <br/> <br/> 또 ""아이가 7세에 영재교육원을 목표로 하고 있어 수업 일수가 모자람에도 학비 지원금을 수령하겠다""며 ""이다음에 사회에 멋진 구성원이 될 아이를 가르치고 있다고 생각해 달라""고 요구했다. A씨는 ""아이가 친구를 때리지도 않은 걸 때렸다고 했다""며 ""이 문제들을 공론화시키고 교원평가에 반영할 수 있다""고 협박하기도 했다. <br/> <br/> A씨는 피해 교사가 자신의 요청을 받아들이지 않으면 유치원으로 전화해 연락을 시도했다. 이와 더불어 밤낮없이 장문의 문자 메시지를 보냈다. 하루에 문자를 28통이나 보낸 날도 있었다. <br/> <br/> <br/> 이와 관련해 A씨는 ""제 언행이 경솔했다""면서도 ""아이의 실명이 거론되는 것은 법적 조치가 될 수 있으니 삼가 달라""고 말했다. <br/> <br/> 이어 ""해당 교사도 그 당시에 나에게 윽박지르고 소리 질렀다""면서 교사의 실명을 언급하고, ""죄송합니다만 그 교사는 죽지 않았다. 서이초 교사가 아니다""라는 등의 글을 남겨 논란이 더욱 커졌다. <br/> <br/> 한편 A씨가 과시했던 카이스트 경영대학 졸업과 MBA 과정을 마쳤다는 주장은 사실이 아닌 것으로 드러났다. <br/> <br/> A씨는 자신이 쓴 책에 '베트남에서 2년간 봉사 활동을 하고 온 대한민국 태생의 엄마. 엄마이기 이전에 여성으로서 유리천장을 깨보고자 카이스트(KAIST) 경영대학원 SEMBA과정에 입학하였으나 출산으로 1년 만에 자퇴했다'고 본인을 소개했다. <br/> <br/> 이를 본 사람들이 학력을 의심하자 A씨는 ""경북 포항에 위치한 대학 출신이고 카이스트 경영대학원 자퇴생""이라며 ""대전 카이스트와는 무관하다""고 바로잡았다. <br/> <br/> 현재 A씨는 블로그 내 게시물을 모두 비공개 혹은 삭제 처리하고 인스타그램 소통 채널을 닫아 둔 상태다."
6,"<selenium.webdriver.remote.webelement.WebElement (session=""deba5368163aed59e0053f5fce21d20b"", element=""F291F5785C5B2AB5B4D3F6DEB2514BF5_element_49"")>","태풍 '카눈'이 지나간 지난 11일, 2023 새만금 세계스카우트 잼버리가 열렸던 전북 부안군 야영지 곳곳에 물웅덩이가 생겼다. 연합뉴스
국민의힘은 16일 새만금 세계스카우트 잼버리 부실 준비 논란과 관련해 전임 문재인 정부와 전북도청의 책임을 부각하는 데 거듭 주력했다. <br/> <br/> 더불어민주당이 국정조사 카드까지 꺼내 들며 정부 책임론 공세 수위를 끌어올리자 방어막을 치는 모습이다. <br/> 유상범 수석대변인은 논평에서 ""국민께서 더욱 분노하는 것은 오랜 기간 행사 유치와 준비를 담당해 온 전북도, 그리고 문재인 전 대통령과 민주당이 그저 면피에만 급급할 뿐 정작 제일 중요한 원인 규명과 재발 방지책 마련에는 관심이 없다는 것""이라고 비판했다. <br/> <br/> 유 수석대변인은 특히 부지 매립 문제에 따른 프레잼버리 개최 불발, 기반시설 설치 지연 상황 등에 관해 ""사실상 유치와 준비 초기 단계부터 부실이 예고되었지만, 지난 정권과 민주당은 귀 기울이지 않았다""고 주장했다. <br/> <br/> 이어 ""오로지 윤석열 정부의 탓인 것처럼 몰아가더니, 급기야 국정조사를 이야기하며 다시 한번 문제를 정쟁의 소용돌이 속으로 끌어들이겠다는 행태를 보인다""며 ""어떻게 이렇게 몰염치할 수 있나""라고 날을 세웠다. <br/> <br/> 그러면서 ""국민의힘은 철저한 감사원 감사를 촉구하며, 철저히 원인을 규명하고 다시는 이 같은 일이 반복되지 않도록 분명한 책임을 묻고 자성의 계기로 삼을 것""이라고 강조했다. <br/> <br/> 여당 몫 국회부의장이자 행안위원인 정우택 의원도 페이스북에서 프레잼버리 취소 배경과 관련해 전임 정권에서 부지 매립 문제를 알고도 방치한 책임이 크다고 주장하고, ""심각한 직무 유기""라고 강조했다. <br/> 아울러 ""국제행사 유치 후 예산만 챙기고 일이 잘못되면 중앙정부에 책임을 떠넘기는 일이 반복되지 않도록 지방자치단체의 행정 역량과 책임 강화가 필요하다""고 덧붙였다. <br/> <br/> 홍석준 의원은 페이스북에서 ""문재인 정부 동안 공정률은 37%에 불과했다. 이 때문에 작년 8월에 개최되어야 할 프레대회도 열리지 못했다. 부당한 해외 출장, 곰팡이 계란 업체 선정 등도 짚어야 한다""며 전임 정부와 전북도를 동시에 조준했다. <br/> <br/> 반면에 비주류 인사들을 중심으로 전임 정부 또는 전북도만의 문제로 몰아갈 일이 아니라는 목소리도 나왔다. <br/> <br/> 김종인 전 비상대책위원장은 이날 KBS 라디오에서 ""중앙정부가 책임을 더 져야 한다""며 ""이 정부가 수립된 지가 벌써 1년 반 가까이 되어 가는데 항상 문제가 생기면 과거 정권에 미루는 것은 정치적으로 현명한 방법이 아니다""라고 말했다. <br/> <br/> 이준석 전 대표는 YTN 라디오에서 ""최근에 보수층에서 시작했던 움직임이 몇십 년 된 뿌리 깊은 전라도 이야기, 그러니까 이슈가 나오면 '전라도 탓' 하는 것을 했다""며 ""조직위가 조직하면서 어디에 문제가 있었느냐를 살피는 게 중요한 것인데 여기서 전라도를 가지고 어떻게 하겠다는 것인가""라고 따졌다."
7,"<selenium.webdriver.remote.webelement.WebElement (session=""deba5368163aed59e0053f5fce21d20b"", element=""F291F5785C5B2AB5B4D3F6DEB2514BF5_element_50"")>","공동주택 최신 트렌드 조사 및 아이디어 제안 역할
경기주택도시공사 전경. 사진 제공 = 경기주택도시공사
경기주택도시공사(GH)는 29일까지 제2기 ‘GH 홈 에디터’ 9명을 모집한다고 16일 밝혔다. <br/> <br/><br/> GH 홈 에디터는 더 나은 공동주택을 위한 다양한 실수요자의 다양한 아이디어 등을 발굴하기 위해서 시행중이다. <br/> <br/><br/> 모집 대상은 주부, 청년, 신혼부부, 뉴시니어(1955~1965년생)이다. 선정된 9명은 기존 제1기 연임자 11명과 함께 △공동주택 평면계획 의견 수렴 △공동주택 최신 트렌드 관련 아이디어 제안 △견본주택 및 목업세대 (현장 샘플 하우스)품평회 참여 등의 활동을 한다. 임기는 위촉일로부터 2년이다. <br/> <br/><br/> 참여를 원하면 GH 홈페이지를 통해 관련 내용을 확인할 수 있다. <br/> <br/><br/> 김세용 GH 사장은 “양질의 주택공급에 더욱 힘써서 민간에 뒤처지지 않는 공공주택 모델을 지속적으로 개발하고, 세대별 다양한 수요에 발 빠르게 대응할 주거 공간을 창출하겠다”고 밝혔다."
8,"<selenium.webdriver.remote.webelement.WebElement (session=""deba5368163aed59e0053f5fce21d20b"", element=""F291F5785C5B2AB5B4D3F6DEB2514BF5_element_51"")>","고소영이 일본 여행 중 촬영한 사진. [고소영 SNS 갈무리]
[헤럴드경제=한지숙 기자] 제 78주년 광복절에 일본을 여행한 가족 사진을 소셜미디어(SNS)에 올린 고소영이 “중요한 날 불편을 끼쳐 죄송하다”며 사과했다. <br/> <br/> 고소영은 16일 자신의 인스타그램에 “중요한 날 불편을 끼쳐 죄송합니다. 인지 후 바로 삭제했지만 너무 늦었네요. 앞으로는 좀 더 신중을 기하도록 하겠습니다”라는 짤막한 글을 올렸다. 글 말미에는 두 손을 모아 합장하는 이모티콘을 달았다. <br/> <br/> 고소영은 광복절인 전날 남편인 배우 장동건과 두 자녀와 함께 일본을 여행하는 사진을 다수 올렸다. 고소영, 장동건 부부의 아들은 중학생, 딸은 초등학생이다. 광복절의 의미 등 역사 교육을 받는 나이대다. <br/> <br/> 한편 전날 지드래곤, 산드라박, 서현, 한승연, 김희선 등 스타들은 SNS 계정에 태극기 사진을 올리며 광복절의 의미를 되새겼다. 김희선은 ""빛을 되찾은 날, 그날을 잊지 않겠습니다""라고 썼고, 걸그룹 소녀시대 출신 배우 서현은 도산 안창호 기념관에서 안창호 선생 동상 옆에서 찍은 사진을 올리며 ""나라를 지켜 주셔서 감사합니다. 대한독립만세""라고 적었다. 송일국은 5년전 광복절에 찍었던 '삼둥이' 사진을 공개하며 ""2018년 봄, 헤이그 이준 열사 기념관에 갔을 때 찍은 사진입니다. 대한민국만세!""라며 대한, 민국, 만세 등 세 자녀 이름도 함께 언급했다. <br/> <br/> 매해 광복절에 태극기 사진을 올리는 지드래곤은 ""We celebrate the 78th national liberation day of Korea""(우리는 한국의 78번째 광복절을 기념한다)""라는 영문 문구와 태극기 그림 사진을 게재했다. <br/> <br/> 그런가하면 배우 송혜교는 광복절을 맞아 한국홍보전문가 서경덕 성신여대 교수와 함께 미국 하와이주립대학교 한국학센터에 독립운동 유적지를 알리는 안내서 1만부를 기증했다. <br/> <br/> <br/> <br/><br/> <br/> jshan@heraldcorp.com"
9,"<selenium.webdriver.remote.webelement.WebElement (session=""deba5368163aed59e0053f5fce21d20b"", element=""F291F5785C5B2AB5B4D3F6DEB2514BF5_element_52"")>","윤석열 대통령이 15일 오후 서울 서대문구 신촌세브란스병원 장례식장에 마련된 부친 고 윤기중 연세대 명예교수의 빈소를 지키고 있다. 대통령실 제공
“아버님(이종찬 광복회장)께서 건강하셔서 꼭 백수(白壽·99세) 하셔야 한다.” <br/> <br/>윤석열 대통령은 15일 서울 서대문구 신촌세브란스병원 장례식장에 차려진 부친 윤기중 연세대 명예교수의 빈소를 찾은 이철우 연세대 법학전문대학원 교수에게 이 같이 말한 것으로 알려졌다. ‘인생 제1 멘토’를 잃은 윤 대통령은 침통한 마음 속에서도 빈소를 찾은 한 사람 한 사람에게 각별한 고마움을 전하고 있다고 조문객들이 전했다. <br/> <br/>이 교수는 16일 동아일보와의 통화에서 “윤 대통령은 상주로서 어떤 내색도 하지 않고 문상객을 맞이했다”며 “윤 대통령이 빈소 옆 내실에 종종 들어가는 것 같았는데 아마 (윤 교수님의 별세에) 마음이 울적하고 괴롭기 때문 아니었겠는가”라고 밝혔다. <br/> <br/>윤 대통령 집안과 어릴 적부터 교류해 온 이 교수는 윤 교수에 대해 “불과 두 달 전까지도 연세대 명예교수 연구실로 나오셨다”고 회상했다. 이 교수는 “ 윤 교수님께서 몸이 안 좋고 하셔도 가만히 누워 계시는 분이 아니다”며 “89세이던 2020년에도 학술원 논문지에 출간이 된 논문을 읽어보라고 주셨다”고 말했다. <br/> <br/>윤 교수는 2015년 남아프리카공화국 더반에서 열린 국제사회과학이사회 포럼에 다녀온 이후부터 건강이 좋지 못했던 것으로 알려졌다. 고령에 남아공까지 가서 발표를 진행했고, 귀국 후에도 관련 내용을 정리하는데 상당한 과로를 했던 것으로 전해졌다. 윤 교수가 고령에도 불구하고 학자로서 연구활동을 왕성하게 이어왔다는 게 주변인들의 공통된 기억이다. <br/> <br/>윤 대통령은 대통령실 참모진에게도 윤 교수와의 추억에 대해 말하기도 했던 것으로 전해졌다. 일본 히토쓰바시대학에서 경제학을 공부한 윤 교수가 서점에서 일본 학술서적을 주기적으로 구입한 뒤 관련 내용을 요약해 어린시절 윤 대통령에게 설명해 줬다는 것. 윤 대통령은 이와 관련해 “어릴 때는 너무 지루해서 듣기 싫었는데, 나중에 그게 다 기억이 나더라”라고 말한 것으로 알려졌다. 빈소에는 윤 교수의 동료 경제학 교수들의 발걸음도 이어졌다고 조문객이 전했다. <br/> <br/>대통령실 과학기술비서관을 지냈던 조성경 과학기술정보통신부 1차관은 조문 뒤 페이스북에 “표정과 눈빛에 가득한 아버지에 대한 그리움은 어찌 감출 수 없는, 그저 아버지를 보내드려야 하는 평범한 자식일 뿐인 대통령을 보면서 아무리 그 숫자가 커져도 자식에게 부모상은 절대 호상이 될 순 없는 것임을 다시 한번 깨닫는다”라고 했다. <br/> <br/>이상헌기자 dapaper@donga.com"
