,content
0,"서울특별시 청소년들이 정읍시 신정동 정촌가요특구를 탐방했다. 사진제공=정읍시
서울특별시 청소년 39명이 지난달 26일부터 28일까지 ‘정읍 역사·문화체험' 방문을 실시했다. <br/> 정읍시와 서울특별시의 우호결연으로 추진된 체험 방문은 정읍시 청소년문화체육관 청소년 지도사들이 인솔교사로 참여해 정읍의 역사가 깃들여있는 명소부터 즐길 거리가 있는 체험시설까지 정읍의 다양한 모습을 직접 느끼고 체험할 수 있는 프로그램으로 구성됐다. <br/> 서울 청소년들은 한국가요촌 달하, 동학농민혁명유적지 탐방 등의 역사체험과 시립농악단 공연 관람, 천사히어로즈, 임산물체험장, 내장산탐방원 내 다양한 체험프로그램 등 문화체험을 진행했다. <br/> 체험에 참여한 청소년들은 “동학농민혁명 역사를 비롯해 정읍의 먹거리, 즐길거리, 볼거리 체험이 정말 재밌었다”는 소감을 밝혔다. <br/> 백지원 인재양성과장은 “서울 청소년들의 정읍 역사·문화탐방을 통해 정읍지역 청소년들과 소통하며 다양한 경험과 지역사회를 바라보는 안목을 키우길 바란다”고 전했다."
1,"정읍시의회 지역특화 문화예술 연구회 김석환, 고성환, 송기순, 서향경, 오명제, 정상철 의원(왼쪽부터)
정읍시의회(의장 고경윤) 의원 연구단체인 '지역특화 문화예술 연구회' 와 지역 내 문화예술 단체 대표들이 지난달 28일 소통 간담회를 갖고 지역문화예술 발전을 위한 개선 방안을 모색했다. <br/> 이날 소통간담회에는 시의원, 정읍문화원, 정읍예총, 정읍시립미술관, 수제천 보존회 대표들이 참석해 지역 문화예술계가 겪고 있는 행정상의 불편과 애로사항을 청취하고 개선 방안을 논의했다. <br/> 특히 문화단체 대표들은 ""인구감소와 지역소멸 상황이 심화되며 시민들의 문화 향유 기회가 대도시에 비해 격차가 벌어지고 있다""며 ""문화예술 단체들이 경쟁력 있는 공연을 선보일 수 있도록 적극적인 지원이 필요하다""고 건의했다. <br/> 지역특화 문화예술 연구회는 송기순(대표의원), 이상길, 정상철, 오명제, 서향경, 김석환, 고성환 의원으로 구성되어 정읍시의 품격 높은 문화예술 자원의 계승·발전과 정읍시민의 문화적 욕구 부응, 지역 문화예술 정책 개발 및 수립을 목표로 활동한다."
2,"WKBL 6개 구단 + 일본·호주·필리핀 초청 4개 팀 출전
2023 우리은행 박신자컵 대회 로고. WKBL 제공
2023 우리은행 박신자컵 국제여자농구 대회가 역대 최대 규모로 돌아온다.<br/>한국여자농구연맹(WKBL)은 31일 “8월 26일부터 9월 3일까지 충북 청주체육관에서 박신자컵을 개최한다”고 밝혔다.<br/>올해 박신자컵에는 역대 가장 많은 10개 팀이 출전한다. WKBL 6개 구단과 함께 일본·호주·필리핀에서 초청된 4개 팀이 경쟁하게 된다. 출사표를 던진 외국팀으로는 일본 W리그 11년 연속 우승 기록을 보유한 에네오스와 지난 시즌 준우승팀 도요타, 호주 WNBL 소속 벤디고, 필리핀 국가대표팀 등이 있다. WKBL은 “2015년 박신자컵 창설 이후 가장 많은 외국팀 규모”라고 전했다.<br/>대회 명칭과 엠블럼도 새롭게 바뀐다. 기존 ‘박신자 서머리그’에서 ‘박신자컵’으로 명칭을 변경하며 유망주 발굴을 위한 대회에서 각 팀 주전급 선수들이 대거 참여하는 국제대회 형태로 격상했다.<br/>10개 팀은 2개 조로 나눠 예선을 치른다. 조 2위 안에 든 팀만이 4강에 오를 수 있다. 우승 상금은 기존 1,000만 원에서 올해 3,000만 원으로 늘었다. 대회는 별도 티켓 예매를 통해 관람할 수 있으며 전 좌석 지정석으로 운영된다."
3,"박보균 문화체육관광부 장관이 17일 서울 용산구 문체부 저작권보고과 서울사무소 회의실에서 방송제작스태프 관계자를 만나 노동환경 개선에 대한 의견을 나누고 있다. (사진=문화체육관광부 제공) 2022.11.17
[머니투데이 유동주 기자] <br/>""화려한 K-컬처 이면의 현장에서 열심히 뛰고 있는 방송계 약자인 스태프들의 예술적 투혼과 헌신, 꿈과 열정을 가지고 창작의 세계에 뛰어드는 MZ세대 스태프들의 노력에 정당한 보상이 이뤄져야 한다.""<br/><br/>박보균 문화체육관광부 장관은 31일 프리랜서와 비정규직인 방송스태프의 열악한 근로환경과 처우를 개선하기 위한 1차 개선대책을 발표하면서 이같이 강조했다. 이어 ""전체 직원의 과반수가 억대 연봉을 받고 있는 KBS를 비롯해 공영방송인 MBC의 리더십이 이를 개선하는데 적극 나서달라""고 독려했다.<br/><br/>실제로 문체부는 방송스태프들이 촬영을 위한 이동과 대기에 소요한 시간을 근로시간으로 인정받지 못하는 불합리를 개선하는 한편 항저우 아시안게임을 앞두고 방송프로그램 결방으로 입는 피해를 최소화할 수 있도록 지상파 방송 3사에 대한 현장점검과 방송 분야 표준계약서 개정 작업에 나섰다.<br/><br/>특히 올해 상반기 방송스태프들과 8차례 간담회와 인터뷰를 진행한 결과를 이번 대책에 반영했다. 유사한 영상 제작 업종인 영화업계에 비해 열악한 방송 제작환경을 개선해야 한다는 취지다. 이에 따라 문체부는 공영방송인 KBS와 MBC의 노력을 촉구했다. 민영 방송사인 SBS는 '스튜디오S 드라마 제작 가이드라인'을 마련해 근로환경 개선을 위한 자발적인 움직임을 보이고 있는 반면 KBS와 MBC는 개선노력이 없다는 지적에 따른 것이다.<br/><br/> 문체부는 오는 10월까지 영화업계나 SBS 사례 등을 참고해 지방 촬영 시 이동시간과 촬영에 따른 대기, 정리 시간 등을 근로시간에 포함하고 휴식 시간을 보장하는 등 스태프의 권리를 보호할 수 있는 가이드라인을 마련하고 방송사 등에 권고할 방침이다. 이를 위해 방송스태프들의 구체적인 피해사례를 조사할 예정이다. <br/><br/> 결방으로 인한 임금 미지급이나 결방 기간 중 업무 지시 등과 같은 관행도 바꾼다. 월드컵이나 올림픽 등으로 결방하는 경우 임금 미지급 등의 사례가 발생하지 않도록 불공정 계약 관행을 조사하고 위반시 과태료 부과 등 조치할 계획이다. 다음달 개막하는 '제19회 항저우 아시안게임'을 앞두고 방송 결방으로 인한 피해가 스태프들에게 미치지 않도록 할 예정이다. 이와 관련해 지난 3월 WBC(월드베이스볼클래식) 한국전 중계로 결방된 KBS와 MBC, SBS 방송 3사의 자체 제작 프로그램을 대상으로 '예술인 복지법' 위반 여부를 조사한다.<br/><br/>정부는 아울러 방송사 사정으로 방영이 되지 않더라도 안정적으로 임금을 지급받을 수 있도록 방송 분야 표준계약서를 개선한다. 세부적으로는 제작비의 경우 방영일이 아닌 납품일을 기준으로 하고, 납품한 프로그램에 대해서는 제작비 전액을 지급할 수 있도록 하며 결방 시 충분한 기간을 두고 서면 사전고지하도록 표준계약서에 명기하는 방안을 검토한다.<br/><br/>방송스태프 외에 가수와 배우 등 출연자들도 구두계약 등으로 출연료 정산에 문제를 겪고 있다는 지적에 따라 이들을 위한 방송출연 표준계약서 개정도 추진한다. 구두로 출연을 요구하거나 약속하고 예상보다 적게 출연료를 주거나 심지어 밥 한 끼로 출연료를 정산하는 사례도 있다는게 문체부 조사 결과다.<br/><br/> 문체부 관계자는 ""가수나 배우 등이 공정한 환경에서 일할 수 있도록 대중문화예술인 방송출연 표준계약서를 하반기 중에 개정할 것""이라며 ""방송출연 표준계약서의 사용률을 높이기 위해 조문을 쉽고 명확하게 수정하고, 촬영일과 방영일 사이의 간극으로 인한 출연료 지급 지연 등 방송출연과 관련한 불합리한 상황을 방지하는 내용을 담는 것을 검토할 것""이라고 말했다."
4,"고용노동부 경기지청이 '안전문화 실천추진단'을 통해 실생활 곳곳에 안전문화 메시지를 전파해 다양한 주체들의 안전의식 향상과 사회 전반의 안전문화 확산에 기여하고 있다고 31일 밝혔다. <br/> <br/>추진단은 먼저 누구나 일상생활 곳곳에서 안전의 중요성을 인식할 수 있도록 ‘안전문화 노출하기’ 캠페인을 진행하고 있다. <br/> <br/>고용노동부 경기지청은 이 같은 활동을 지원하기 위해 사업장 내 식당, 화장실 및 카페, 대중교통, 마트․쇼핑몰 등 특성․용도별로 다양하게 제작된 슬로건 및 시안을 고용노동부 경기지청 홈페이지에 게시해 누구나 무료로 활용할 수 있도록 했다. <br/> <br/>이와 함께 고용노동부 경기지청은 소규모 사업장에서 반드시 알아야 할 주요 산업안전보건법 관련 내용을 담은 ‘안전정보 수첩’과 ‘작업안전수칙 QR코드 스티커’를 제작해 근로자 및 사업주에게 배포해 안전정보에 대한 접근성을 높이기 위해 힘쓰고 있다. <br/> <br/>강운경 고용노동부 경기지청장은 ‘중대재해 감축을 위해서는 사업주의 정기적인 안전보건 점검과 위험성평가 등 자체적인 위험요인 개선 시스템 마련이 우선되어야 하지만, 근로자가 안전보건의 주체라는 인식개선과 안전수칙을 준수하도록 하는 안전문화 확산 활동도 매우 중요하다’라고 말했다.수원=윤상연 기자 syyoon1111@hankyung.com"
5,"군민 안전 위협하는 불법주정차 집중 단속 실시  충남 홍성군은 충남도청 이전 후 급격하게 증가한 자동차 대수에 대응하기 위해 내포신도시 내 주차장을 신설하며 대응해왔지만 주민 일부의 일탈행위로 체계가 잡히지 않자 철퇴를 가하기로 했다. <br/><br/>군에 따르면 자동차 증가에 대응한 교통대책 만큼 중요한 것이 주민들의 성숙한 시민의식이기에 8월을'불법주정차 집중단속의 달'로 정하고 내포신도시 중심상가 및 대규모 공사현장, 버스터미널 주변 등 상습 불법주정차 구역에서 집중적인 단속을 실시한다고 밝혔다. <br/><br/>내포신도시 조성 이후 관내 등록된 자동차는 2012년 37,360대에서 2023년 현재 56,229대로 폭발적으로 증가했으며, 이로 인해 상업지역을 중심으로 횡단보도, 인도 등 불법주정차가 점차 증가하여 군민의 보행안전을 위협하고 교통사고를 유발하고 있는 실정이다. <br/><br/>이에 홍성군은 고정형 단속카메라, 이동형 단속카메라(단속차량) 등을 이용해 상습 불법주정차 구역을 중심으로 대대적인 불법주정차 단속을 실시하고, 6대 주정차 금지구역 주민신고제(안전신문고)를 집중 홍보해 군민 교통안전 증진에 최선을 다할 계획이다. <br/><br/>특히, 인도 불법주정차 주민신고제의 계도기간이 7월 31일에 종료됨에 따라 8월 1일부터는 1분 이상 인도 위 불법 주정차를 하다 적발되면 최대 5만원의 과태료가 부과할 방침이다. <br/><br/>육헌근 건설교통과장은 ""이번 집중단속은 불법주정차로 야기되는 군민의 교통안전을 제고하기 위함이며, 내 가족의 안전을 지킨다는 마음으로 불법주정차 근절에 적극적으로 동참해주길 부탁드린다""고 전했다. <br/><br/>한편, 6대 주정차 금지구역은 △소화전 5m 이내 △교차로 모퉁이 5m 이내 △버스정류소 10m 이내 △횡단보도 △초등학교 정문 앞 어린이 보호구역 △인도 위이며, 불법주정차 주민신고제(안전신문고) 대상으로 1분 간격 동일배경 사진 2장으로 신고 가능하다. <br/><br/>/홍성=박재춘기자"
6,"충남 홍성군은 지난 28일 농업기술센터 대강당에서 축산관련 종사자 집합교육을 실시했다. <br/><br/>홍성축산업협동조합과 함께 진행한 이번 축산관련 종사자는 교육은 축산법 및 가축 전염병 예방법, 가축분뇨의 관리 및 이용에 관한 법률 등의 내용으로 이루어진 법정 의무교육으로 축산인 편의를 위해 집합교육으로 진행했다. <br/><br/>축산법에 따르면 축산업 허가자는 1년에 1회 이상, 가축사육업 또는 가축거래상인 등록을 한 자는 2년에 1회 이상, 축산차량 종사자는 4년에 1회 이상 보수교육을 12월 말까지 의무로 수강해야하는데, 축산관련종사자 교육정보시스템(https://www.farmedu.kr/)에 접속해 온라인으로 교육을 이수하거나 이번처럼 집합교육 시 수강하면 된다. <br/><br/>군 관계자는 ""축산관련 종사자 보수교육을 기간 내 이수하지 않으면 과태료 (1회 100만원, 2회 200만원, 3회이상 400만원) 처분을 받게 된다""며 ""교육을받지 않아 불이익을 받는 일이 없으시길 바란다"" 고 당부했다. <br/><br/>또한, 가축사육업의 영업상태가 휴업 또는 폐업일 경우 축산과(041-630-1973, 1975)로 축산업 변경을 신고해줄 것을 당부했다. <br/><br/>/홍성=박재춘기자"
7,"오는 9월 15일까지 pc 또는 스마트폰 이용해 실시  충남 홍성군은 상반기 기본교육 미이수한 3년차 이상 민방위 대원 대상으로 8월 1일부터 9월 15일까지 하반기 민방위 보충1차 사이버 교육을 실시한다. <br/><br/>전자통지 시스템 및 우편 통지를 통해 개별 통지받은 민방위 대원들은 PC 또는 모바일을 활용해 홍성군청 홈페이지나 스마트민방위교육 사이트(www.cdec.kr)에 접속 후 본인인증을 거쳐 교육을 수강할 수 있다. <br/><br/>교육시간은 3~4년차 대원은 2시간, 5년차 이상 대원은 1시간의 사이버 교육 수강 후 객관식 평가에서 70점 이상의 점수를 받으면 교육 이수가 인정되며, 민방위 교육 미이수 시에는 민방위 기본법 제 39조에 따라 10만원의 과태료가 부과된다. <br/><br/>최기순 안전관리과장은""민방위 교육은 전시ㆍ재난 시 우리 가족과 지역의 안전을 지키기 위해 실시하는 교육으로 실제 비상사태 발생 시 효율적으로 대처할 수 있는 역량을 높이는 좋은 기회이다. 민방위 대원들의 적극적인 참여를 부탁한다""고 말했다. <br/><br/>/홍성=박재춘기자"
8,"충남 홍성군이 성장 잠재력이 높은 가업승계 소상공인을 발굴하고 장수 소상공인으로 육성하고자 가업승계 지원사업 대상자를 재모집한다고 밝혔다. <br/><br/>지원대상은 동일 업종으로 2대 이상에 걸쳐 15년 이상 사업을 영위하고 있는 소상공인이며, 그 중 업력은 길지만 가업을 승계한 지 오래되지 않아 경영상 어려움이 있는 소상공인을 우선 지원할 계획이다. <br/><br/>올해에는 3개 업체를 선정할 계획으로 기존에 선정된 업체 1곳과 이번에 선정될 2개 업체에는 점포의 경영환경 개선을 위한 시설 및 장비 등의 개ㆍ보수 및 구입비 1천만원을 지원할 예정이다. <br/><br/>가업을 승계하여 운영하고 있는 소상공인 중 지원대상 자격이 있는 업체는 홍성군 홈페이지의 공고문을 확인하여 홍성군청 경제정책과 지역경제팀(☏ 041-630-1611)으로 사전문의 후 구비서류를 갖추어 8월 4일까지 신청하면 된다. <br/><br/>김완섭 경제정책과장은 ""성장 잠재력이 높은 유망한 가업승계 소상공인들을 발굴하고자 하고 있으나, 현재 신청인이 적어 아쉬움이 있다""며""본 사업에 많은 관심과 참여를 바라며, 가업을 승계한 지역 소상공인들의 경영환경개선에 도움이 되길 바란다""고 말했다. <br/><br/>/홍성=박재춘기자"
9,"동행 면접 서비스, 구인·구직 만남의 날 운영 충남 보령시가 기업의 구인난 해결과 구직자의 취업률 제고를 위한 '동행 면접' 서비스와 '구인ㆍ구직 만남의 날'을 운영해 기업과 구직자 양쪽으로부터 호평을 받고 있다. <br/><br/>동행 면접 서비스는 전문직업상담사가 구직자와 함께 기업체의 면접장까지 동행해 면접전략 및 유의 사항 등 면접 절차를 지원하는 서비스로 면접대상자의 심리적 안정에 도움을 줘 취업 성공률을 높이는데 긍정적인 요인으로 작용한다. <br/><br/>시는 최근 고용시장의 인적성 검사 및 면접 강화 추세에 따라 취업 지원 대상자별 맞춤형 면접 코칭 서비스의 효용가치가 앞으로 더욱 향상될 것이라고 내다보고 있다. <br/><br/>또한 시는 구직등록자 중 희망 직종 적합자에게 기업정보를 제공하고 기업체와 구직자를 상호 매칭시키는 '구인ㆍ구직 만남의 날'을 운영하며 모집부터 면접 전형까지 구인ㆍ구직 모든 방면을 지원하는 정책을 펴고 있다. <br/><br/>두 프로그램의 결과로 지난 2021년부터 올해 7월까지 36명의 구직자가 취업에 성공하는 성과를 올리기도 했다. <br/><br/>동행 면접 서비스 등 일자리 지원책에 관하여 궁금한 사안이 있으면 보령시 일자리지원센터(041-930-6232&sim;6234)로부터 자세한 설명을 들을 수 있다. <br/><br/>김동일 시장은 ""구직경험이나 경력이 부족해 심리적으로 위축돼 면접에 어려움을 겪는 구직자들께서 많이 신청하여 도움을 받기를 바란다""며 ""앞으로 지속적인 정책 발굴을 통해 기업 하기 좋고 먹고살기 좋은 보령을 만들어 나가겠다""고 말했다. <br/><br/>/보령=박재춘기자"
